"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$start_hour","all_trips_v2$ride_length"
"1","casual","Sunday",0,13771
"2","member","Sunday",0,9965
"3","casual","Monday",0,3514
"4","member","Monday",0,3030
"5","casual","Tuesday",0,2646
"6","member","Tuesday",0,2620
"7","casual","Wednesday",0,2840
"8","member","Wednesday",0,3074
"9","casual","Thursday",0,3587
"10","member","Thursday",0,3667
"11","casual","Friday",0,5343
"12","member","Friday",0,4855
"13","casual","Saturday",0,11542
"14","member","Saturday",0,9357
"15","casual","Sunday",1,9120
"16","member","Sunday",1,6740
"17","casual","Monday",1,2062
"18","member","Monday",1,1671
"19","casual","Tuesday",1,1546
"20","member","Tuesday",1,1396
"21","casual","Wednesday",1,1577
"22","member","Wednesday",1,1469
"23","casual","Thursday",1,1976
"24","member","Thursday",1,1817
"25","casual","Friday",1,3273
"26","member","Friday",1,2752
"27","casual","Saturday",1,8681
"28","member","Saturday",1,6530
"29","casual","Sunday",2,6080
"30","member","Sunday",2,4199
"31","casual","Monday",2,1388
"32","member","Monday",2,1078
"33","casual","Tuesday",2,906
"34","member","Tuesday",2,769
"35","casual","Wednesday",2,945
"36","member","Wednesday",2,795
"37","casual","Thursday",2,1213
"38","member","Thursday",2,1082
"39","casual","Friday",2,1896
"40","member","Friday",2,1533
"41","casual","Saturday",2,4851
"42","member","Saturday",2,3495
"43","casual","Sunday",3,3195
"44","member","Sunday",3,2339
"45","casual","Monday",3,1032
"46","member","Monday",3,798
"47","casual","Tuesday",3,661
"48","member","Tuesday",3,634
"49","casual","Wednesday",3,679
"50","member","Wednesday",3,586
"51","casual","Thursday",3,818
"52","member","Thursday",3,706
"53","casual","Friday",3,1197
"54","member","Friday",3,1028
"55","casual","Saturday",3,2455
"56","member","Saturday",3,2022
"57","casual","Sunday",4,1848
"58","member","Sunday",4,1511
"59","casual","Monday",4,929
"60","member","Monday",4,1223
"61","casual","Tuesday",4,733
"62","member","Tuesday",4,1305
"63","casual","Wednesday",4,743
"64","member","Wednesday",4,1166
"65","casual","Thursday",4,686
"66","member","Thursday",4,1220
"67","casual","Friday",4,855
"68","member","Friday",4,1317
"69","casual","Saturday",4,1190
"70","member","Saturday",4,1168
"71","casual","Sunday",5,1685
"72","member","Sunday",5,1914
"73","casual","Monday",5,1719
"74","member","Monday",5,4997
"75","casual","Tuesday",5,1895
"76","member","Tuesday",5,6432
"77","casual","Wednesday",5,1982
"78","member","Wednesday",5,6366
"79","casual","Thursday",5,1815
"80","member","Thursday",5,5831
"81","casual","Friday",5,1894
"82","member","Friday",5,5233
"83","casual","Saturday",5,1350
"84","member","Saturday",5,1949
"85","casual","Sunday",6,2550
"86","member","Sunday",6,4220
"87","casual","Monday",6,4177
"88","member","Monday",6,15587
"89","casual","Tuesday",6,5416
"90","member","Tuesday",6,20713
"91","casual","Wednesday",6,5304
"92","member","Wednesday",6,19625
"93","casual","Thursday",6,5417
"94","member","Thursday",6,18667
"95","casual","Friday",6,6409
"96","member","Friday",6,16184
"97","casual","Saturday",6,2511
"98","member","Saturday",6,5080
"99","casual","Sunday",7,4020
"100","member","Sunday",7,7262
"101","casual","Monday",7,6937
"102","member","Monday",7,27721
"103","casual","Tuesday",7,9812
"104","member","Tuesday",7,38917
"105","casual","Wednesday",7,10028
"106","member","Wednesday",7,38350
"107","casual","Thursday",7,9928
"108","member","Thursday",7,36298
"109","casual","Friday",7,8801
"110","member","Friday",7,26535
"111","casual","Saturday",7,4629
"112","member","Saturday",7,9217
"113","casual","Sunday",8,6750
"114","member","Sunday",8,10858
"115","casual","Monday",8,9155
"116","member","Monday",8,33446
"117","casual","Tuesday",8,12099
"118","member","Tuesday",8,46230
"119","casual","Wednesday",8,12630
"120","member","Wednesday",8,44995
"121","casual","Thursday",8,12849
"122","member","Thursday",8,44344
"123","casual","Friday",8,10200
"124","member","Friday",8,30507
"125","casual","Saturday",8,9234
"126","member","Saturday",8,16369
"127","casual","Sunday",9,12429
"128","member","Sunday",9,17182
"129","casual","Monday",9,8450
"130","member","Monday",9,19956
"131","casual","Tuesday",9,8496
"132","member","Tuesday",9,24283
"133","casual","Wednesday",9,8932
"134","member","Wednesday",9,24935
"135","casual","Thursday",9,9244
"136","member","Thursday",9,25421
"137","casual","Friday",9,9920
"138","member","Friday",9,21126
"139","casual","Saturday",9,15553
"140","member","Saturday",9,23212
"141","casual","Sunday",10,18887
"142","member","Sunday",10,23574
"143","casual","Monday",10,9928
"144","member","Monday",10,16604
"145","casual","Tuesday",10,8844
"146","member","Tuesday",10,18002
"147","casual","Wednesday",10,8754
"148","member","Wednesday",10,18785
"149","casual","Thursday",10,9715
"150","member","Thursday",10,18984
"151","casual","Friday",10,12000
"152","member","Friday",10,19033
"153","casual","Saturday",10,23164
"154","member","Saturday",10,28768
"155","casual","Sunday",11,24448
"156","member","Sunday",11,28439
"157","casual","Monday",11,12632
"158","member","Monday",11,20154
"159","casual","Tuesday",11,10861
"160","member","Tuesday",11,20768
"161","casual","Wednesday",11,11554
"162","member","Wednesday",11,22079
"163","casual","Thursday",11,12052
"164","member","Thursday",11,22224
"165","casual","Friday",11,15962
"166","member","Friday",11,23233
"167","casual","Saturday",11,29762
"168","member","Saturday",11,32772
"169","casual","Sunday",12,27402
"170","member","Sunday",12,30125
"171","casual","Monday",12,15715
"172","member","Monday",12,23736
"173","casual","Tuesday",12,13363
"174","member","Tuesday",12,24864
"175","casual","Wednesday",12,13400
"176","member","Wednesday",12,26189
"177","casual","Thursday",12,14847
"178","member","Thursday",12,26744
"179","casual","Friday",12,20149
"180","member","Friday",12,28159
"181","casual","Saturday",12,34347
"182","member","Saturday",12,34207
"183","casual","Sunday",13,28891
"184","member","Sunday",13,30661
"185","casual","Monday",13,16524
"186","member","Monday",13,23870
"187","casual","Tuesday",13,13721
"188","member","Tuesday",13,23838
"189","casual","Wednesday",13,13909
"190","member","Wednesday",13,25960
"191","casual","Thursday",13,15456
"192","member","Thursday",13,25967
"193","casual","Friday",13,21317
"194","member","Friday",13,29422
"195","casual","Saturday",13,36396
"196","member","Saturday",13,34018
"197","casual","Sunday",14,30286
"198","member","Sunday",14,30481
"199","casual","Monday",14,17366
"200","member","Monday",14,24322
"201","casual","Tuesday",14,14593
"202","member","Tuesday",14,23647
"203","casual","Wednesday",14,15234
"204","member","Wednesday",14,25660
"205","casual","Thursday",14,16945
"206","member","Thursday",14,25879
"207","casual","Friday",14,23466
"208","member","Friday",14,30951
"209","casual","Saturday",14,37379
"210","member","Saturday",14,34461
"211","casual","Sunday",15,31688
"212","member","Sunday",15,31632
"213","casual","Monday",15,19236
"214","member","Monday",15,30295
"215","casual","Tuesday",15,17679
"216","member","Tuesday",15,33186
"217","casual","Wednesday",15,18225
"218","member","Wednesday",15,34024
"219","casual","Thursday",15,20525
"220","member","Thursday",15,34734
"221","casual","Friday",15,27759
"222","member","Friday",15,38837
"223","casual","Saturday",15,38472
"224","member","Saturday",15,34171
"225","casual","Sunday",16,29660
"226","member","Sunday",16,30854
"227","casual","Monday",16,22223
"228","member","Monday",16,44109
"229","casual","Tuesday",16,23516
"230","member","Tuesday",16,52881
"231","casual","Wednesday",16,24972
"232","member","Wednesday",16,54467
"233","casual","Thursday",16,26390
"234","member","Thursday",16,51458
"235","casual","Friday",16,31009
"236","member","Friday",16,47238
"237","casual","Saturday",16,37717
"238","member","Saturday",16,34175
"239","casual","Sunday",17,25567
"240","member","Sunday",17,28902
"241","casual","Monday",17,25690
"242","member","Monday",17,56697
"243","casual","Tuesday",17,29444
"244","member","Tuesday",17,66633
"245","casual","Wednesday",17,32268
"246","member","Wednesday",17,69069
"247","casual","Thursday",17,33410
"248","member","Thursday",17,65637
"249","casual","Friday",17,33674
"250","member","Friday",17,51777
"251","casual","Saturday",17,35105
"252","member","Saturday",17,34184
"253","casual","Sunday",18,21465
"254","member","Sunday",18,26241
"255","casual","Monday",18,22534
"256","member","Monday",18,44416
"257","casual","Tuesday",18,25074
"258","member","Tuesday",18,49300
"259","casual","Wednesday",18,27518
"260","member","Wednesday",18,51696
"261","casual","Thursday",18,29987
"262","member","Thursday",18,51136
"263","casual","Friday",18,30513
"264","member","Friday",18,43429
"265","casual","Saturday",18,31497
"266","member","Saturday",18,31557
"267","casual","Sunday",19,16227
"268","member","Sunday",19,20107
"269","casual","Monday",19,17213
"270","member","Monday",19,31291
"271","casual","Tuesday",19,18316
"272","member","Tuesday",19,34152
"273","casual","Wednesday",19,20960
"274","member","Wednesday",19,36533
"275","casual","Thursday",19,22074
"276","member","Thursday",19,35828
"277","casual","Friday",19,22885
"278","member","Friday",19,31036
"279","casual","Saturday",19,24321
"280","member","Saturday",19,25479
"281","casual","Sunday",20,11644
"282","member","Sunday",20,14968
"283","casual","Monday",20,12558
"284","member","Monday",20,21560
"285","casual","Tuesday",20,12942
"286","member","Tuesday",20,23138
"287","casual","Wednesday",20,15188
"288","member","Wednesday",20,25387
"289","casual","Thursday",20,15652
"290","member","Thursday",20,24165
"291","casual","Friday",20,16553
"292","member","Friday",20,21346
"293","casual","Saturday",20,18646
"294","member","Saturday",20,18759
"295","casual","Sunday",21,9845
"296","member","Sunday",21,11709
"297","casual","Monday",21,9793
"298","member","Monday",21,15715
"299","casual","Tuesday",21,11329
"300","member","Tuesday",21,17860
"301","casual","Wednesday",21,13428
"302","member","Wednesday",21,19653
"303","casual","Thursday",21,13505
"304","member","Thursday",21,19563
"305","casual","Friday",21,13992
"306","member","Friday",21,16501
"307","casual","Saturday",21,17232
"308","member","Saturday",21,16087
"309","casual","Sunday",22,8353
"310","member","Sunday",22,8745
"311","casual","Monday",22,7451
"312","member","Monday",22,9865
"313","casual","Tuesday",22,8324
"314","member","Tuesday",22,11453
"315","casual","Wednesday",22,10070
"316","member","Wednesday",22,13470
"317","casual","Thursday",22,12426
"318","member","Thursday",22,15300
"319","casual","Friday",22,14560
"320","member","Friday",22,14913
"321","casual","Saturday",22,17507
"322","member","Saturday",22,14593
"323","casual","Sunday",23,5574
"324","member","Sunday",23,5296
"325","casual","Monday",23,4859
"326","member","Monday",23,5477
"327","casual","Tuesday",23,4882
"328","member","Tuesday",23,6011
"329","casual","Wednesday",23,6123
"330","member","Wednesday",23,7292
"331","casual","Thursday",23,7761
"332","member","Thursday",23,9000
"333","casual","Friday",23,13480
"334","member","Friday",23,11931
"335","casual","Saturday",23,16442
"336","member","Saturday",23,12761
